CTR,Placement Type,Package Name,Impressions (Net),Placement End Date,Advertiser Name,Clicks (Net),Placement ID,Total Media Cost,Campaign ID,Site Name,Campaign Start Date,Ad Duration,Video Fully Played,Placement Start Date,Average Video Percentage Complete (%),Ad Name,Video Played 25%,Impressions (Gross),Campaign Type,Advertiser ID,Section Name,Video Played 75%,Brand Name,Click Through (URL),Video Played 50%,Ad Format Name,Campaign End Date,Cost per Unit,Placement Name,Video Started,Cost Model,Video Average Duration (Sec),Day,Campaign Name,Date,Country_code,Campaign Label,Agency,Year,Market,Client,Brand_portfolio,Temporality,Initiative,Adserver,Consumption occasions,Platform,New Ad Format,unified_brand,Platform Cost,New Buying Type,Brand,Temp Campaign Name,date_copy,date_month,mplan_agency,adverity_client_id,adverity_client_name
0.00%,In-Stream Video,,0,1/31/2021 12:00:00 AM,Kellogg's CARICAM,0,1076155545,0.0,1074132726,Xaxis LATAM,1/14/2021 12:00:00 AM,28,0,1/14/2021 12:00:00 AM,0.00%,Video_27SS_BackToSchool_Xaxis - Video_TR_GTM3,0,0,Display,1073764495,ROS,0,Corporate,https://www.kelloggs.com.gt/es_GT/home.html,0,In-Stream Video,1/31/2021 12:00:00 AM,0.04,Xaxis - Video3_ RON_Video_0X0_CPV_Several_Views_Video_BackToSchool_TR_GTM,0,CPV,0.00,3/6/2021 12:00:00 AM,MCMPR_2021_GTM_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO,2021-03-06,GT,MCMPR_2021_GTM_Kelloggs_Corporate Promotions_Seasonal_Back to School_Sizmek_Family Breakfast_CPV-Xaxis - Video_3,MCMPR,2021,GTM,Kelloggs,Corporate Promotions,Seasonal,Back to School,Sizmek,Family Breakfast,CPV-Xaxis - Video,,corporatepromotions,0.0,CPV,Corporate Promotions,MCMPR_2021_GTM_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO,2021-03-06,3,Mediacom,3,ktboClient
0.00%,In-Stream Video,,1,1/31/2021 12:00:00 AM,Kellogg's CARICAM,0,1076155587,0.08,1074132735,Xaxis LATAM,1/16/2021 12:00:00 AM,28,1,1/16/2021 12:00:00 AM,62.50%,Video_27SS_BackToSchool_Xaxis - Video_TR_SLV3,1,1,Display,1073764495,ROS,1,Corporate,https://www.kelloggs.com.gt/es_GT/home.html,1,In-Stream Video,1/31/2021 12:00:00 AM,0.04,Xaxis - Video3_ RON_Video_0X0_CPV_Several_Views_Video_BackToSchool_TR_SLV,2,CPV,0.00,3/6/2021 12:00:00 AM,MCMPR_2021_SLV_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO,2021-03-06,SV,MCMPR_2021_SLV_Kelloggs_Corporate Promotions_Seasonal_Back to School_Sizmek_Family Breakfast_CPV-Xaxis - Video_3,MCMPR,2021,SLV,Kelloggs,Corporate Promotions,Seasonal,Back to School,Sizmek,Family Breakfast,CPV-Xaxis - Video,,corporatepromotions,0.08,CPV,Corporate Promotions,MCMPR_2021_SLV_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO,2021-03-06,3,Mediacom,3,ktboClient
0.56%,In-Stream Video,,2145,4/30/2021 12:00:00 AM,Kellogg's CARICAM,12,1076188190,64.35,1074138105,Xaxis LATAM,1/18/2021 12:00:00 AM,20,1231,1/18/2021 12:00:00 AM,59.52%,Zucaritas_20_CARICAM_YT_210111,1642,2147,Display,1073764495,0,1339,Zucaritas,https://www.kellobyte.com/es_PA/zucaritas.html,1459,In-Stream Video,4/30/2021 12:00:00 AM,0.03,Xaxis - Video_ RON_Video_0X0_CPV_Several_Views_Video_Pura Garra_TR_PAN,2147,CPV,0.00,3/6/2021 12:00:00 AM,MCMPR_2021_PAN_KELLOGGS_ZUCARITAS_SEASONAL_PURAGARRA_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO,2021-03-06,PA,MCMPR_2021_PAN_Kelloggs_Zucaritas_Seasonal_Pura Garra_Sizmek_Family Breakfast_CPV-Xaxis - Video,MCMPR,2021,PAN,Kelloggs,Zucaritas,Seasonal,Pura Garra,Sizmek,Family Breakfast,CPV-Xaxis - Video,,zucaritas,64.35,CPV,Zucaritas,MCMPR_2021_PAN_KELLOGGS_ZUCARITAS_SEASONAL_PURAGARRA_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO,2021-03-06,3,Mediacom,3,ktboClient
0.78%,In-Stream Video,,2561,3/31/2021 12:00:00 AM,Kellogg's CARICAM,20,1076214085,76.83,1074149730,Xaxis LATAM,2/18/2021 12:00:00 AM,28,1354,2/18/2021 12:00:00 AM,58.47%,Video_28SS_BackToSchool_Xaxis - Video_TR_PAN,2018,2565,Display,1073764495,ROS,1601,Corporate,https://www.kelloggs.com.gt/es_GT/home.html,1793,In-Stream Video,3/31/2021 12:00:00 AM,0.03,Xaxis - Video_ RON_Video_0X0_CPV_Several_Views_Video_BackToSchool_TR_PAN,2562,CPV,0.00,3/6/2021 12:00:00 AM,MCMPR_2021_PAN_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO,2021-03-06,PA,MCMPR_2021_PAN_Kelloggs_Corporate Promotions_Seasonal_Back to School_Sizmek_Family Breakfast_CPV-Xaxis - Video,MCMPR,2021,PAN,Kelloggs,Corporate Promotions,Seasonal,Back to School,Sizmek,Family Breakfast,CPV-Xaxis - Video,,corporatepromotions,76.83,CPV,Corporate Promotions,MCMPR_2021_PAN_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO,2021-03-06,3,Mediacom,3,ktboClient
0.82%,In-Stream Video,,3169,4/30/2021 12:00:00 AM,Kellogg's CARICAM,26,1076258062,94.83,1074166149,Xaxis LATAM,2/22/2021 12:00:00 AM,20,1693,2/22/2021 12:00:00 AM,58.31%,Zucaritas_20_CARICAM_YT_210111_CR,2541,3172,Display,1073764495,0,1914,Zucaritas,https://www.kellobyte.com/es_CR/zucaritas.html,2150,In-Stream Video,4/30/2021 12:00:00 AM,0.03,Xaxis - Video_ RON_Video_0X0_CPV_Several_Views_Video_Pura Garra_TR_CRI,3159,CPV,0.00,3/6/2021 12:00:00 AM,MCMPR_2021_CRI_KELLOGGS_ZUCARITAS_SEASONAL_PURAGARRA_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO,2021-03-06,CR,MCMPR_2021_CRI_Kelloggs_Zucaritas_Seasonal_Pura Garra_Sizmek_Family Breakfast_CPV-Xaxis - Video,MCMPR,2021,CRI,Kelloggs,Zucaritas,Seasonal,Pura Garra,Sizmek,Family Breakfast,CPV-Xaxis - Video,,zucaritas,94.83,CPV,Zucaritas,MCMPR_2021_CRI_KELLOGGS_ZUCARITAS_SEASONAL_PURAGARRA_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO,2021-03-06,3,Mediacom,3,ktboClient
0.14%,In Banner,Xaxis,12974,4/15/2021 12:00:00 AM,Kellogg's CARICAM,18,1076282341,38.92,1074172181,Xaxis LATAM,2/15/2021 12:00:00 AM,0,0,2/15/2021 12:00:00 AM,0.00%,display-300x50 GT,0,12978,Display,1073764495,0,0,Pringles,https://www.promopringles.com/promo/gt?utm_source=Display&utm_medium=Banner&utm_campaign=Verano_x2_Pringles_15_02_15_04_2021&utm_term=Banner_300x50_GT&utm_content=Banner_300x50,0,Standard Banner,4/15/2021 12:00:00 AM,3,Xaxis - Scroll Reactive_RON_Standard Banner_300x50_CPM_Several_Impressions_Display_Verano x2_TR_GTM,0,CPM,0.00,3/6/2021 12:00:00 AM,MCMPR_2021_GTM_KELLOGGS_PRINGLES_SEASONAL_VERANOX2_SIZMEK_EVENINGME_CPM-XAXIS-DISPLAY,2021-03-06,GT,MCMPR_2021_GTM_Kelloggs_Pringles_Seasonal_Veranox2_Sizmek_Evening Me_CPM-Xaxis - Display,MCMPR,2021,GTM,Kelloggs,Pringles,Seasonal,Veranox2,Sizmek,Evening Me,CPM-Xaxis - Display,,pringles,38.92,CPM,Pringles,MCMPR_2021_GTM_KELLOGGS_PRINGLES_SEASONAL_VERANOX2_SIZMEK_EVENINGME_CPM-XAXIS-DISPLAY,2021-03-06,3,Mediacom,3,ktboClient
0.07%,In Banner,Xaxis,4513,4/15/2021 12:00:00 AM,Kellogg's CARICAM,3,1076282342,13.54,1074172181,Xaxis LATAM,2/15/2021 12:00:00 AM,0,0,2/15/2021 12:00:00 AM,0.00%,display-300x250 GT,0,4521,Display,1073764495,0,0,Pringles,https://www.promopringles.com/promo/gt?utm_source=Display&utm_medium=Banner&utm_campaign=Verano_x2_Pringles_15_02_15_04_2021&utm_term=Banner_300x250_GT&utm_content=Banner_300x250,0,Standard Banner,4/15/2021 12:00:00 AM,3,Xaxis - Scroll Reactive_RON_Standard Banner_300x250_CPM_Several_Impressions_Display_Verano x2_TR_GTM,0,CPM,0.00,3/6/2021 12:00:00 AM,MCMPR_2021_GTM_KELLOGGS_PRINGLES_SEASONAL_VERANOX2_SIZMEK_EVENINGME_CPM-XAXIS-DISPLAY,2021-03-06,GT,MCMPR_2021_GTM_Kelloggs_Pringles_Seasonal_Veranox2_Sizmek_Evening Me_CPM-Xaxis - Display,MCMPR,2021,GTM,Kelloggs,Pringles,Seasonal,Veranox2,Sizmek,Evening Me,CPM-Xaxis - Display,,pringles,13.54,CPM,Pringles,MCMPR_2021_GTM_KELLOGGS_PRINGLES_SEASONAL_VERANOX2_SIZMEK_EVENINGME_CPM-XAXIS-DISPLAY,2021-03-06,3,Mediacom,3,ktboClient
0.09%,In Banner,Xaxis,1093,4/15/2021 12:00:00 AM,Kellogg's CARICAM,1,1076282343,3.28,1074172181,Xaxis LATAM,2/15/2021 12:00:00 AM,0,0,2/15/2021 12:00:00 AM,0.00%,display-300x600 GT,0,1093,Display,1073764495,0,0,Pringles,https://www.promopringles.com/promo/gt?utm_source=Display&utm_medium=Banner&utm_campaign=Verano_x2_Pringles_15_02_15_04_2021&utm_term=Banner_300x600_GT&utm_content=Banner_300x600,0,Standard Banner,4/15/2021 12:00:00 AM,3,Xaxis - Scroll Reactive_RON_Standard Banner_300x600_CPM_Several_Impressions_Display_Verano x2_TR_GTM,0,CPM,0.00,3/6/2021 12:00:00 AM,MCMPR_2021_GTM_KELLOGGS_PRINGLES_SEASONAL_VERANOX2_SIZMEK_EVENINGME_CPM-XAXIS-DISPLAY,2021-03-06,GT,MCMPR_2021_GTM_Kelloggs_Pringles_Seasonal_Veranox2_Sizmek_Evening Me_CPM-Xaxis - Display,MCMPR,2021,GTM,Kelloggs,Pringles,Seasonal,Veranox2,Sizmek,Evening Me,CPM-Xaxis - Display,,pringles,3.28,CPM,Pringles,MCMPR_2021_GTM_KELLOGGS_PRINGLES_SEASONAL_VERANOX2_SIZMEK_EVENINGME_CPM-XAXIS-DISPLAY,2021-03-06,3,Mediacom,3,ktboClient
0.00%,In Banner,Xaxis,1845,4/15/2021 12:00:00 AM,Kellogg's CARICAM,0,1076282345,5.54,1074172181,Xaxis LATAM,2/15/2021 12:00:00 AM,0,0,2/15/2021 12:00:00 AM,0.00%,display-728x90 GT,0,1847,Display,1073764495,0,0,Pringles,https://www.promopringles.com/promo/gt?utm_source=Display&utm_medium=Banner&utm_campaign=Verano_x2_Pringles_15_02_15_04_2021&utm_term=Banner_728x90_GT&utm_content=Banner_728x90,0,Standard Banner,4/15/2021 12:00:00 AM,3,Xaxis - Scroll Reactive_RON_Standard Banner_728x90_CPM_Several_Impressions_Display_Verano x2_TR_GTM,0,CPM,0.00,3/6/2021 12:00:00 AM,MCMPR_2021_GTM_KELLOGGS_PRINGLES_SEASONAL_VERANOX2_SIZMEK_EVENINGME_CPM-XAXIS-DISPLAY,2021-03-06,GT,MCMPR_2021_GTM_Kelloggs_Pringles_Seasonal_Veranox2_Sizmek_Evening Me_CPM-Xaxis - Display,MCMPR,2021,GTM,Kelloggs,Pringles,Seasonal,Veranox2,Sizmek,Evening Me,CPM-Xaxis - Display,,pringles,5.54,CPM,Pringles,MCMPR_2021_GTM_KELLOGGS_PRINGLES_SEASONAL_VERANOX2_SIZMEK_EVENINGME_CPM-XAXIS-DISPLAY,2021-03-06,3,Mediacom,3,ktboClient
0.00%,In Banner,Xaxis,469,4/15/2021 12:00:00 AM,Kellogg's CARICAM,0,1076282346,1.41,1074172181,Xaxis LATAM,2/15/2021 12:00:00 AM,0,0,2/15/2021 12:00:00 AM,0.00%,display-970x90 GT,0,470,Display,1073764495,0,0,Pringles,https://www.promopringles.com/promo/gt?utm_source=Display&utm_medium=Banner&utm_campaign=Verano_x2_Pringles_15_02_15_04_2021&utm_term=Banner_970x90_GT&utm_content=Banner_970x90,0,Standard Banner,4/15/2021 12:00:00 AM,3,Xaxis - Scroll Reactive_RON_Standard Banner_970x90_CPM_Several_Impressions_Display_Verano x2_TR_GTM,0,CPM,0.00,3/6/2021 12:00:00 AM,MCMPR_2021_GTM_KELLOGGS_PRINGLES_SEASONAL_VERANOX2_SIZMEK_EVENINGME_CPM-XAXIS-DISPLAY,2021-03-06,GT,MCMPR_2021_GTM_Kelloggs_Pringles_Seasonal_Veranox2_Sizmek_Evening Me_CPM-Xaxis - Display,MCMPR,2021,GTM,Kelloggs,Pringles,Seasonal,Veranox2,Sizmek,Evening Me,CPM-Xaxis - Display,,pringles,1.41,CPM,Pringles,MCMPR_2021_GTM_KELLOGGS_PRINGLES_SEASONAL_VERANOX2_SIZMEK_EVENINGME_CPM-XAXIS-DISPLAY,2021-03-06,3,Mediacom,3,ktboClient
