CTR,Placement Type,Package Name,Impressions (Net),Placement End Date,Advertiser Name,Clicks (Net),Placement ID,Total Media Cost,Campaign ID,Site Name,Campaign Start Date,Ad Duration,Video Fully Played,Placement Start Date,Average Video Percentage Complete (%),Ad Name,Video Played 25%,Impressions (Gross),Campaign Type,Advertiser ID,Section Name,Video Played 75%,Brand Name,Click Through (URL),Video Played 50%,Ad Format Name,Campaign End Date,Cost per Unit,Placement Name,Video Started,Cost Model,Video Average Duration (Sec),Day,Campaign Name,Date,Country_code,Campaign Label,Agency,Year,Market,Client,Brand_portfolio,Temporality,Initiative,Adserver,Consumption occasions,Platform,New Ad Format,unified_brand,Platform Cost,New Buying Type,Brand,Temp Campaign Name,date_copy,date_month,mplan_agency,adverity_client_id,adverity_client_name
0.00%,In Banner,cookies diciembre,0,12/15/2020 12:00:00 AM,Kellogg´s,0,1076053942,0.0,1074104770,Xaxis LATAM,12/7/2020 12:00:00 AM,0,0,12/7/2020 12:00:00 AM,0.00%,Diciembre_Cookies_banners_160x600,0,0,Display,194976,0,0,Masterbrand,https://www.farmaciasguadalajara.com/ProductDisplay?top_category5=&top_category4=&top_category3=&urlRequestType=Base&productId=3074457345616765216&catalogId=10052&top_category2=&categoryId=&errorViewName=ProductDisplayErrorView&urlLangId=-24&langId=-24&top_category=&parent_category_rn=&storeId=10151,0,Standard Banner,12/15/2020 12:00:00 AM,0,Xaxis_ROS_Standard Banner_160x600_CPM_Several_Impressions_Display_Cookies_Xaxis_Diciembre,0,CPM,0.00,2/12/2021 12:00:00 AM,MCMMX_2020_MEX_KELLOGGS_MASTERBRAND_SEASONAL_COOKIESKIDS_SIZMEK_MID-MORNINGSNACK_CPM-XAXIS-STANDARDBANNERS,2021-02-12,MX,MCMMX_2020_MEX_Kelloggs_Masterbrand_Seasonal_Cookies Kids_Sizmek_Mid-Morning Snack_CPM-Xaxis - Standard Banners_Diciembre,MCMMX,2020,MEX,Kelloggs,Masterbrand,Seasonal,Cookies Kids,Sizmek,Mid-Morning Snack,CPM-Xaxis - Standard Banners,,masterbrand,0.0,CPM,Masterbrand,MCMMX_2020_MEX_KELLOGGS_MASTERBRAND_SEASONAL_COOKIESKIDS_SIZMEK_MID-MORNINGSNACK_CPM-XAXIS-STANDARDBANNERS,2021-02-12,2,Mediacom,3,ktboClient
0.00%,In Banner,cookies diciembre,0,12/15/2020 12:00:00 AM,Kellogg´s,0,1076053943,0.0,1074104770,Xaxis LATAM,12/7/2020 12:00:00 AM,0,0,12/7/2020 12:00:00 AM,0.00%,Diciembre_Cookies_banners_300x250,0,1,Display,194976,0,0,Masterbrand,https://www.farmaciasguadalajara.com/ProductDisplay?top_category5=&top_category4=&top_category3=&urlRequestType=Base&productId=3074457345616765216&catalogId=10052&top_category2=&categoryId=&errorViewName=ProductDisplayErrorView&urlLangId=-24&langId=-24&top_category=&parent_category_rn=&storeId=10151,0,Standard Banner,12/15/2020 12:00:00 AM,0,Xaxis_ROS_Standard Banner_300x250_CPM_Several_Impressions_Display_Cookies_Xaxis_Diciembre,0,CPM,0.00,2/12/2021 12:00:00 AM,MCMMX_2020_MEX_KELLOGGS_MASTERBRAND_SEASONAL_COOKIESKIDS_SIZMEK_MID-MORNINGSNACK_CPM-XAXIS-STANDARDBANNERS,2021-02-12,MX,MCMMX_2020_MEX_Kelloggs_Masterbrand_Seasonal_Cookies Kids_Sizmek_Mid-Morning Snack_CPM-Xaxis - Standard Banners_Diciembre,MCMMX,2020,MEX,Kelloggs,Masterbrand,Seasonal,Cookies Kids,Sizmek,Mid-Morning Snack,CPM-Xaxis - Standard Banners,,masterbrand,0.0,CPM,Masterbrand,MCMMX_2020_MEX_KELLOGGS_MASTERBRAND_SEASONAL_COOKIESKIDS_SIZMEK_MID-MORNINGSNACK_CPM-XAXIS-STANDARDBANNERS,2021-02-12,2,Mediacom,3,ktboClient
0.00%,In Banner,cookies diciembre,0,12/15/2020 12:00:00 AM,Kellogg´s,0,1076053944,0.0,1074104770,Xaxis LATAM,12/7/2020 12:00:00 AM,0,0,12/7/2020 12:00:00 AM,0.00%,Diciembre_Cookies_banners_320x480,0,1,Display,194976,0,0,Masterbrand,https://www.farmaciasguadalajara.com/ProductDisplay?top_category5=&top_category4=&top_category3=&urlRequestType=Base&productId=3074457345616765216&catalogId=10052&top_category2=&categoryId=&errorViewName=ProductDisplayErrorView&urlLangId=-24&langId=-24&top_category=&parent_category_rn=&storeId=10151,0,Standard Banner,12/15/2020 12:00:00 AM,0,Xaxis_ROS_Standard Banner_320x480_CPM_Several_Impressions_Display_Cookies_Xaxis_Diciembre,0,CPM,0.00,2/12/2021 12:00:00 AM,MCMMX_2020_MEX_KELLOGGS_MASTERBRAND_SEASONAL_COOKIESKIDS_SIZMEK_MID-MORNINGSNACK_CPM-XAXIS-STANDARDBANNERS,2021-02-12,MX,MCMMX_2020_MEX_Kelloggs_Masterbrand_Seasonal_Cookies Kids_Sizmek_Mid-Morning Snack_CPM-Xaxis - Standard Banners_Diciembre,MCMMX,2020,MEX,Kelloggs,Masterbrand,Seasonal,Cookies Kids,Sizmek,Mid-Morning Snack,CPM-Xaxis - Standard Banners,,masterbrand,0.0,CPM,Masterbrand,MCMMX_2020_MEX_KELLOGGS_MASTERBRAND_SEASONAL_COOKIESKIDS_SIZMEK_MID-MORNINGSNACK_CPM-XAXIS-STANDARDBANNERS,2021-02-12,2,Mediacom,3,ktboClient
0.00%,In Banner,cookies diciembre,1,12/15/2020 12:00:00 AM,Kellogg´s,0,1076053945,0.0,1074104770,Xaxis LATAM,12/7/2020 12:00:00 AM,0,0,12/7/2020 12:00:00 AM,0.00%,Diciembre_Cookies_banners_300x600,0,1,Display,194976,0,0,Masterbrand,https://www.farmaciasguadalajara.com/ProductDisplay?top_category5=&top_category4=&top_category3=&urlRequestType=Base&productId=3074457345616765216&catalogId=10052&top_category2=&categoryId=&errorViewName=ProductDisplayErrorView&urlLangId=-24&langId=-24&top_category=&parent_category_rn=&storeId=10151,0,Standard Banner,12/15/2020 12:00:00 AM,0,Xaxis_ROS_Standard Banner_300x600_CPM_Several_Impressions_Display_Cookies_Xaxis_Diciembre,0,CPM,0.00,2/12/2021 12:00:00 AM,MCMMX_2020_MEX_KELLOGGS_MASTERBRAND_SEASONAL_COOKIESKIDS_SIZMEK_MID-MORNINGSNACK_CPM-XAXIS-STANDARDBANNERS,2021-02-12,MX,MCMMX_2020_MEX_Kelloggs_Masterbrand_Seasonal_Cookies Kids_Sizmek_Mid-Morning Snack_CPM-Xaxis - Standard Banners_Diciembre,MCMMX,2020,MEX,Kelloggs,Masterbrand,Seasonal,Cookies Kids,Sizmek,Mid-Morning Snack,CPM-Xaxis - Standard Banners,,masterbrand,0.0,CPM,Masterbrand,MCMMX_2020_MEX_KELLOGGS_MASTERBRAND_SEASONAL_COOKIESKIDS_SIZMEK_MID-MORNINGSNACK_CPM-XAXIS-STANDARDBANNERS,2021-02-12,2,Mediacom,3,ktboClient
0.00%,In Banner,Xaxis_ROS_Standard Banner_CPM_Mobile_Corporate Promotion_In-store traffic_Diciembre,1,12/31/2020 12:00:00 AM,Kellogg´s,0,1076106235,0.0,1074113447,Xaxis LATAM,12/16/2020 12:00:00 AM,0,0,12/16/2020 12:00:00 AM,0.00%,240920_MB_PERSONAJES_XAXIS_728x90 V2,0,1,Display,194976,0,0,Corporate,https://super.walmart.com.mx/browse/mundo-kelloggs/premios?utm_source=jbm_kellogg&utm_medium=display&utm_campaign=jbm_kellogg_rev_corporate_promo_jueves1217&utm_content=video&utm_term=xaxis_banner1_2_facebook,0,Standard Banner,12/31/2020 12:00:00 AM,0.6,Xaxis_ROS_Standard Banner_728x90_CPM_Mobile_Impressions_Display_Corporate Promotion_Intereses In-store traffic_Diciembre,0,CPM,0.00,2/12/2021 12:00:00 AM,MCMMX_2020_MEX_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_GANAPREMIOS_SIZMEK_FAMILYBREAKFAST_CPM-XAXIS-STANDARDBANNERS,2021-02-12,MX,MCMMX_2020_MEX_Kelloggs_Corporate Promotions_Seasonal_Gana Premios_Sizmek_Family Breakfast_CPM-Xaxis - Standard Banners_Diciembre V2,MCMMX,2020,MEX,Kelloggs,Corporate Promotions,Seasonal,Gana Premios,Sizmek,Family Breakfast,CPM-Xaxis - Standard Banners,,corporatepromotions,0.0,CPM,Corporate Promotions,MCMMX_2020_MEX_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_GANAPREMIOS_SIZMEK_FAMILYBREAKFAST_CPM-XAXIS-STANDARDBANNERS,2021-02-12,2,Mediacom,3,ktboClient
0.00%,In Banner,Xaxis_ROS_Standard Banner_CPM_Mobile_Corporate Promotion_In-store traffic_Diciembre,0,12/31/2020 12:00:00 AM,Kellogg´s,0,1076106236,0.0,1074113447,Xaxis LATAM,12/16/2020 12:00:00 AM,0,0,12/16/2020 12:00:00 AM,0.00%,240920_MB_PERSONAJES_XAXIS_300x250 V2,0,0,Display,194976,0,0,Corporate,https://super.walmart.com.mx/browse/mundo-kelloggs/premios?utm_source=jbm_kellogg&utm_medium=display&utm_campaign=jbm_kellogg_rev_corporate_promo_jueves1217&utm_content=video&utm_term=xaxis_banner1_1_facebook,0,Standard Banner,12/31/2020 12:00:00 AM,0.6,Xaxis_ROS_Standard Banner_300x250_CPM_Mobile_Impressions_Display_Corporate Promotion_Intereses In-store traffic_Diciembre,0,CPM,0.00,2/12/2021 12:00:00 AM,MCMMX_2020_MEX_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_GANAPREMIOS_SIZMEK_FAMILYBREAKFAST_CPM-XAXIS-STANDARDBANNERS,2021-02-12,MX,MCMMX_2020_MEX_Kelloggs_Corporate Promotions_Seasonal_Gana Premios_Sizmek_Family Breakfast_CPM-Xaxis - Standard Banners_Diciembre V2,MCMMX,2020,MEX,Kelloggs,Corporate Promotions,Seasonal,Gana Premios,Sizmek,Family Breakfast,CPM-Xaxis - Standard Banners,,corporatepromotions,0.0,CPM,Corporate Promotions,MCMMX_2020_MEX_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_GANAPREMIOS_SIZMEK_FAMILYBREAKFAST_CPM-XAXIS-STANDARDBANNERS,2021-02-12,2,Mediacom,3,ktboClient
0.00%,In Banner,Xaxis_ROS_Standard Banner_CPM_Several_Zucaritas_WL Kids_PACKAGE_Enero 2021,0,1/31/2021 12:00:00 AM,Kellogg´s,0,1076163137,0.0,1074133783,Xaxis LATAM,1/18/2021 12:00:00 AM,0,0,1/18/2021 12:00:00 AM,0.00%,728X90_ZUCA,0,0,Display,194976,0,0,Zucaritas,https://www.kellobyte.com/es_MX/zucaritas.html?utm_source=Display&utm_medium=Xaxis&utm_campaign=Zucaritas_Enero_18_01_31_01&utm_term=Banner_728x90_MX&utm_content=Banner_728x90,0,Standard Banner,1/31/2021 12:00:00 AM,60,Xaxis_ROS_Standard Banner_728x90_CPM_Several_Impressions_Display_Zucaritas_WL Kids_Enero 2021,0,CPM,0.00,2/12/2021 12:00:00 AM,MCMMX_2021_MEX_KELLOGGS_ZUCARITAS_SEASONAL_PURAGARRA_SIZMEK_FAMILYBREAKFAST_CPM-XAXIS-STANDARDBANNERS,2021-02-12,MX,MCMMX_2021_MEX_Kelloggs_Zucaritas_Seasonal_Pura Garra_Sizmek_Family Breakfast_CPM-Xaxis - Standard Banners_Enero 2021,MCMMX,2021,MEX,Kelloggs,Zucaritas,Seasonal,Pura Garra,Sizmek,Family Breakfast,CPM-Xaxis - Standard Banners,,zucaritas,0.0,CPM,Zucaritas,MCMMX_2021_MEX_KELLOGGS_ZUCARITAS_SEASONAL_PURAGARRA_SIZMEK_FAMILYBREAKFAST_CPM-XAXIS-STANDARDBANNERS,2021-02-12,2,Mediacom,3,ktboClient
0.00%,In Banner,Xaxis_ROS_Standard Banner_CPM_Several_ITS_ENERO 21,1,1/31/2021 12:00:00 AM,Kellogg´s,0,1076167511,0.06,1074134349,Xaxis LATAM,1/18/2021 12:00:00 AM,0,0,1/18/2021 12:00:00 AM,0.00%,300X600_MB_V2_ENE_2021,0,1,Display,194976,ROS,0,Masterbrand,https://www.kelloggs.com.mx/es_MX/incansables.html?utm_source=Display&utm_medium=Xaxis&utm_campaign=Incansables_MB_1801_2803_2021&utm_term=Banner_300x600_MX&utm_content=Banner_300x600,0,Standard Banner,1/31/2021 12:00:00 AM,60,Xaxis_ROS_Standard Banner_300X600_CPM_Several_Impressions_Display_MB_ITS_ENERO 21,0,CPM,0.00,2/12/2021 12:00:00 AM,MCMMX_2021_MEX_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTAMUCHOMAS_SIZMEK_BREAKFASTFORONE_CPM-XAXIS-STANDARDBANNERS,2021-02-12,MX,MCMMX_2021_MEX_Kelloggs_Masterbrand_Seasonal_Despierta Mucho Mas_Sizmek_Breakfast for One_CPM-Xaxis - Standard Banners_Enero2021,MCMMX,2021,MEX,Kelloggs,Masterbrand,Seasonal,Despierta Mucho Mas,Sizmek,Breakfast for One,CPM-Xaxis - Standard Banners,,masterbrand,0.003,CPM,Masterbrand,MCMMX_2021_MEX_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTAMUCHOMAS_SIZMEK_BREAKFASTFORONE_CPM-XAXIS-STANDARDBANNERS,2021-02-12,2,Mediacom,3,ktboClient
0.00%,In Banner,Xaxis_ROS_Standard Banner_CPM_Several_ITS_ENERO 21,1,1/31/2021 12:00:00 AM,Kellogg´s,0,1076167512,0.06,1074134349,Xaxis LATAM,1/18/2021 12:00:00 AM,0,0,1/18/2021 12:00:00 AM,0.00%,320X480_MB_V2_ENE_2021,0,1,Display,194976,ROS,0,Masterbrand,https://www.kelloggs.com.mx/es_MX/despierta-mas.html?utm_source=Display&utm_medium=Xaxis&utm_campaign=Incansables_MB_1801_2803_2021&utm_term=Banner_320x240_MX&utm_content=Banner_320x240,0,Standard Banner,1/31/2021 12:00:00 AM,60,Xaxis_ROS_Standard Banner_320X480_CPM_Several_Impressions_Display_MB_ITS_ENERO 21,0,CPM,0.00,2/12/2021 12:00:00 AM,MCMMX_2021_MEX_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTAMUCHOMAS_SIZMEK_BREAKFASTFORONE_CPM-XAXIS-STANDARDBANNERS,2021-02-12,MX,MCMMX_2021_MEX_Kelloggs_Masterbrand_Seasonal_Despierta Mucho Mas_Sizmek_Breakfast for One_CPM-Xaxis - Standard Banners_Enero2021,MCMMX,2021,MEX,Kelloggs,Masterbrand,Seasonal,Despierta Mucho Mas,Sizmek,Breakfast for One,CPM-Xaxis - Standard Banners,,masterbrand,0.003,CPM,Masterbrand,MCMMX_2021_MEX_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTAMUCHOMAS_SIZMEK_BREAKFASTFORONE_CPM-XAXIS-STANDARDBANNERS,2021-02-12,2,Mediacom,3,ktboClient
0.00%,In Banner,Xaxis_ROS_Standard Banner_CPM_Several_Impressions_Display_ChocoKrispis_Intereses Niños_PACKAGE_ENERO 21,1,1/31/2021 12:00:00 AM,Kellogg´s,0,1076191107,0.06,1074139364,Xaxis LATAM,1/18/2021 12:00:00 AM,0,0,1/18/2021 12:00:00 AM,0.00%,chk_walkman_300x600,0,1,Display,194976,0,0,Choco Krispis,https://www.kellobyte.com/es_MX/choco-krispis.html?utm_source=Display&utm_medium=Xaxis&utm_campaign=A_lo_grande_ChocoKrispis_2001_3101_2021&utm_term=Banner_300x600_MX&utm_content=Banner_300x600,0,Standard Banner,1/31/2021 12:00:00 AM,60,Xaxis_ROS_Standard Banner_300X600_CPM_Several_Impressions_Display_ChocoKrispis_Intereses Niños_ENERO 21,0,CPM,0.00,2/12/2021 12:00:00 AM,MCMMX_2021_MEX_KELLOGGS_CHOCOKRISPIS_SEASONAL_ALOGRANDE_SIZMEK_FAMILYBREAKFAST_CPM-XAXIS-STANDARDBANNERS,2021-02-12,MX,MCMMX_2021_MEX_Kelloggs_Choco Krispis_Seasonal_A lo grande_Sizmek_Family Breakfast_CPM-Xaxis - Standard Banners_Enero2021,MCMMX,2021,MEX,Kelloggs,Choco Krispis,Seasonal,A lo grande,Sizmek,Family Breakfast,CPM-Xaxis - Standard Banners,,chocokrispis,0.003,CPM,Choco Krispis,MCMMX_2021_MEX_KELLOGGS_CHOCOKRISPIS_SEASONAL_ALOGRANDE_SIZMEK_FAMILYBREAKFAST_CPM-XAXIS-STANDARDBANNERS,2021-02-12,2,Mediacom,3,ktboClient
